,XID,Name,Kind,City,OSM,WikiData,Rate,Lon,Lat
94,Q4306075,Музей «Литературная жизнь Урала XIX века»,"museums,cultural,children_museums,interesting_places",Екатеринбург,,Q4306075,3h,60.607609,56.843414
95,Q4411412,Свято-Никольский храм (Екатеринбург),"religion,churches,interesting_places,other_churches",Екатеринбург,,Q4411412,3h,60.595821,56.826569
96,Q4504106,Центральная городская библиотека им. А. И. Герцена,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Екатеринбург,,Q4504106,3h,60.612167,56.821865
97,Q28381390,Дом Гайдара,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Екатеринбург,,Q28381390,3h,60.591591,56.845341
98,Q50359307,Дом дворянки Е. О. Селивановой,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,,Q50359307,3h,60.609085,56.840805
99,Q55210808,Дом связи (Екатеринбург),"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Екатеринбург,,Q55210808,3h,60.608856,56.839352
100,W148138980,Дом В. И. Смирнова,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/148138980,Q97660371,3h,43.975361,56.314426
101,W159088287,Памятник Ленину,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Нижний Новгород,way/159088287,Q55655312,3h,43.959465,56.326092
102,R2906507,Северная башня,"towers,architecture,interesting_places,other_towers",Нижний Новгород,relation/2906507,Q51946123,3h,43.998028,56.328777
103,R2906504,Никольская башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",Нижний Новгород,relation/2906504,Q51885222,3h,44.001396,56.325672
104,W152110796,Дом архитектора,"cultural,museums,interesting_places,other_museums",Нижний Новгород,way/152110796,Q98381215,3h,44.009949,56.329483
105,R4238217,Нижегородский государственный академический театр драмы им. М. Горького,"cultural,theatres_and_entertainments,interesting_places,music_venues",Нижний Новгород,relation/4238217,Q166474,3h,44.001335,56.324169
106,N6629818520,Нижегородский кремль,"fortifications,historic,historical_places,cultural,museums,interesting_places,historic_districts,history_museums,kremlins",Нижний Новгород,node/6629818520,Q1550905,3h,44.002522,56.328667
107,R13028362,Нижегородская соборная мечеть,"religion,mosques,interesting_places",Нижний Новгород,relation/13028362,Q4318635,3h,44.037556,56.323444
108,R2906502,Нижегородский кремль,"fortifications,historic,historical_places,cultural,museums,interesting_places,historic_districts,other_museums,kremlins",Нижний Новгород,relation/2906502,Q1550905,3h,44.002106,56.328033
109,W147129127,Домик Каширина,"cultural,museums,interesting_places,other_museums",Нижний Новгород,way/147129127,Q4165827,3h,43.990692,56.323921
110,R2302969,Автозаводский парк культуры и отдыха,"urban_environment,gardens_and_parks,cultural,interesting_places",Нижний Новгород,relation/2302969,Q4056241,3h,43.854343,56.23904
111,W159080177,Собор Александра Невского,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/159080177,Q726541,3h,43.971439,56.333679
112,R2906508,Собор Архангела Михаила,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,relation/2906508,Q1365942,3h,44.001873,56.328293
113,R4356826,Церковь в честь Рождества Богородицы,"religion,churches,interesting_places,other_churches",Нижний Новгород,relation/4356826,Q97678623,3h,43.755871,56.209595
114,R2343568,Спасо-преображенская церковь,"religion,churches,interesting_places,other_churches",Нижний Новгород,relation/2343568,Q4430824,3h,43.933346,56.256714
115,N5141071786,Дворец вице-губернатора,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,node/5141071786,Q99622643,3h,44.003147,56.327217
116,W35979423,Парк имени Кулибина,"urban_environment,gardens_and_parks,cultural,interesting_places",Нижний Новгород,way/35979423,Q4345232,3h,44.008858,56.315018
117,R2013332,Церковь Воскресения Христова,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,relation/2013332,Q4126181,3h,43.978607,56.314247
118,W147129128,Храм Сергия Радонежского,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/147129128,Q1508336,3h,43.987236,56.323441
119,R5393060,Храм святителей Московских,"religion,churches,interesting_places,other_churches",Нижний Новгород,relation/5393060,Q4505287,3h,43.997238,56.312874
120,N6765906237,Скоба,"architecture,historic_architecture,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures",Нижний Новгород,node/6765906237,Q85134186,3h,43.995026,56.329548
121,N2295063247,Нижегородский Кремль,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,node/2295063247,Q100270892,3h,44.005554,56.327255
122,N4320825061,Дмитриевская башня,"towers,architecture,fortifications,historic,cultural,museums,interesting_places,other_museums,other_towers,fortified_towers",Нижний Новгород,node/4320825061,Q18406802,3h,44.005676,56.327045
123,R9649962,Лицей № 82,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,relation/9649962,Q4264363,3h,43.864075,56.349937
124,R2906510,Часовая башня,"towers,architecture,interesting_places,other_towers",Нижний Новгород,relation/2906510,Q51885220,3h,43.998898,56.328785
125,N2295063219,Горьковчане фронту,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Нижний Новгород,node/2295063219,Q4290109,3h,44.005363,56.327061
126,R2917120,Нижегородский государственный художественный музей,"national_museums,cultural,museums,interesting_places,art_galleries",Нижний Новгород,relation/2917120,Q4318653,3h,44.006405,56.329548
127,R3022763,Рождественская церковь,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,relation/3022763,Q1574846,3h,43.984966,56.327251
128,R2906499,Дмитровская башня,"towers,architecture,fortifications,historic,cultural,museums,interesting_places,other_museums,other_towers,fortified_towers",Нижний Новгород,relation/2906499,Q18406802,3h,44.005646,56.327095
129,W151548233,Музей-квартира А.М. Горького,"biographical_museums,cultural,museums,interesting_places,art_galleries",Нижний Новгород,way/151548233,Q4306041,3h,44.018635,56.322784
130,R1992689,Благовещенский монастырь,"religion,monasteries,interesting_places",Нижний Новгород,relation/1992689,Q4087775,3h,43.976791,56.323032
131,W147551273,Благовещенский собор,"religion,cathedrals,monasteries,interesting_places",Нижний Новгород,way/147551273,Q4087775,3h,43.976471,56.322552
132,W152696709,Нижегородское речное училище,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/152696709,Q4318683,3h,44.015591,56.326916
133,W28501972,Парк имени А.С. Пушкина,"urban_environment,gardens_and_parks,cultural,interesting_places",Нижний Новгород,way/28501972,Q4345262,3h,43.997265,56.309052
134,R2906509,Тайницкая башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",Нижний Новгород,relation/2906509,Q51949859,3h,43.997246,56.327576
